Sigla_especificacao,Nome_especificacao
DIR PR,DIREITOS DE SUBSCRIÇÃO EM ACÕES RESGATÁVEIS
DIR PRA,DIREITOS DE SUBSCRIÇÃO EM ACÕES RESGATÁVEIS
DIR PRB,DIREITOS DE SUBSCRIÇÃO EM ACÕES RESGATÁVEIS
DIR PRC,DIREITOS DE SUBSCRIÇÃO EM ACÕES RESGATÁVEIS
DIR PRE,DIREITOS DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
DIR UNT,DIREITOS DE SUBSCRIÇÃO
DR3,DESCONHECIDO III
DR3 EB,DESCONHECIDO IV
DR3 ED,DESCONHECIDO V
DR3 ES,DESCONHECIDO VI
FIDC,Fundo de Investimento em Direitos Creditórios
IBO,DESCONHECIDO VII
LFT,LETRA FINANCEIRA DO TESOURO
M1 REC,RECIBO DE SUBSCRIÇÃO DE MISCELÂNEAS
ON,ACÕES ORDINÁRIAS NOMINATIVAS
ON *,ACÕES ORDINÁRIAS NOMINATIVAS
ON *ED,DESCONHECIDO II
ON *EDJ,Ações Ordinárias Ex-dividendo e Ex-Juros
ON *EJ,Ações Ordinárias Ex-juros
ON *ES,Ações Ordinárias Ex-Subscrição
ON *REC,Ações Ordinárias Ex-Subscrição
ON ATZ,Ações Ordinárias Atualização
ON EB,Ações Ordinárias Ex-Bonificação
ON EBS,DESCONHECIDO
ON EC,DESCONHECIDO
ON ED,DESCONHECIDO
ON EDB,Ações Ordinárias Ex-Dividendo e Ex-Bonificação
ON EDJ,Ações Ordinárias Ex-dividendo e Ex-Juros
ON EDR,Ações Ordinárias Ex-Dividendo e Ex-Rendimento
ON EDS,DESCONHECIDO
ON EG,Ações Ordinárias Ex-Grupamento
ON EJ,Ações Ordinárias Ex-juros
ON EJB,Ações Ordinárias Ex-juros e Ex-bonificação
ON EJD,DESCONHECIDO
ON EJG,DESCONHECIDO
ON EJS,Ações Ordinárias Ex-Juros e Ex-Subscrição
ON ER,Ações Ordinárias Ex-Rendimento
ON ERJ,Ações Ordinárias Ex-Rendimento e Ex-Juros
ON ES,Ações Ordinárias Ex-Subscrição
ON EX,Ações Ordinárias Ex-Subscrição
ON I07,DESCONHECIDO VIII
ON I08,DESCONHECIDO IV
ON INT,DESCONHECIDO X
ON P,ACÕES ORDINÁRIAS NOMINATIVAS COM DIREITO
ON REC,RECIBO DE SUBSCRIÇÃO EM ACÕES ORDINÁRIAS
ONED,DESCONHECIDO I
OR,ACÕES ORDINÁRIAS NOMINATIVAS RESGATÁVEIS
OR P,ACÕES ORDINÁRIAS NOMINATIVAS RESGATÁVEIS
PAB 70,DESCONHECIDO XII
PAD 70,DESCONHECIDO XIII
PAF 70,DESCONHECIDO XIV
PAH 70,DESCONHECIDO XV
PAJ 70,DESCONHECIDO XVI
PAL 70,DESCONHECIDO XVII
PCD,POSIÇÃO CONSOLIDADA DA DIVIDA
PN,ACÕES PREFERÊNCIAIS NOMINATIVAS
PN *,DESCONHECIDO
PN *ED,DESCONHECIDO
PN *EDJ,DESCONHECIDO
PN *EJ,DESCONHECIDO
PN *ES,DESCONHECIDO
PN *REC,DESCONHECIDO
PN EB,Ações Preferenciais Ex-Bonificação
PN EBS,DESCONHECIDO
PN ED,Ações Preferenciais Ex-Dividendo
PN EDB,Ações Preferenciais Ex-Dividendo e Ex-Bonificação
PN EDJ,Ações Preferenciais Ex-dividendo e Ex-Juros
PN EDR,Ações Preferenciais Ex-Dividendo e Ex-Rendimento
PN EDS,DESCONHECIDO
PN EG,DESCONHECIDO
PN EJ,Ações Preferenciais Ex-Juros
PN EJB,Ações Preferenciais Ex-juros e Ex-bonificação
PN EJD,DESCONHECIDO
PN EJG,DESCONHECIDO
PN EJS,Ações Preferenciais Ex-Juros e Ex-Subscrição
PN ES,Ações Preferenciais Ex-Subscrição
PN EX,DESCONHECIDO
PN I07,DESCONHECIDO
PN INT,DESCONHECIDO
PN P,ACÕES PREFERÊNCIAIS NOMINATIVAS COM DIREITO
PN REC,RECIBO DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
PNA,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE A
PNA ANT,DESCONHECIDO
PNA EB,Ações Preferenciais Classe A Ex-BonificaçãoPreferencial
PNA ED,DESCONHECIDO
PNA EDB,DESCONHECIDO
PNA EDJ,DESCONHECIDO
PNA EDR,Ações Preferenciais Classe A Ex-Dividendo e Ex-Rendimento
PNA EDS,DESCONHECIDO
PNA EG,DESCONHECIDO
PNA EJ,Ações Preferenciais Classe A Ex-Juros
PNA EJS,DESCONHECIDO
PNA ES,Ações Preferenciais Classe A Preferencial Ex-Subscrição
PNA INT,DESCONHECIDO
PNA P,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE A
PNA REC,RECIBO DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
PNA*,DESCONHECIDO
PNA*EJ,DESCONHECIDO
PNB,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE B
PNB ANT,DESCONHECIDO I
PNB EB,Ações Preferenciais Classe B Ex-Bonificação
PNB ED,Ações Preferenciais Classe B Ex-Dividendo
PNB EDB,DESCONHECIDO I
PNB EDJ,DESCONHECIDO I
PNB EDR,Ações Preferenciais Classe B Ex-Dividendo e Ex-Rendimento
PNB EG,DESCONHECIDO I
PNB EJ,Ações Preferenciais Classe B Ex-Juros
PNB EJS,DESCONHECIDO I
PNB ES,DESCONHECIDO I
PNB P,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE B
PNB REC,RECIBO DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
PNB*,DESCONHECIDO I
PNB*EJ,DESCONHECIDO I
PNC,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE C
PNC ED,Ações Preferenciais Classe C Preferencial Classe C Ex-Dividendo
PNC EJ,DESCONHECIDO I
PNC P,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE C
PNC REC,RECIBO DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
PNC*,DESCONHECIDO I
PND,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE D
PND ED,Ações Preferenciais Classe D Ex-Dividendo
PND EJ,DESCONHECIDO I
PND P,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE D
PND REC,RECIBO DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
PNE,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE E
PNE ED,Ações Preferenciais Classe E Ex-Dividendo
PNE EJ,DESCONHECIDO I
PNE P,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE E
PNE REC,RECIBO DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
PNF,DESCONHECIDO I
PNF EJ,DESCONHECIDO I
PNG,DESCONHECIDO I
PPB 70,DESCONHECIDO I
PPB 70E,DESCONHECIDO I
PPD 70,DESCONHECIDO I
PPF 70,DESCONHECIDO I
PPH 70,DESCONHECIDO I
PPJ 70,DESCONHECIDO I
PPL 70,DESCONHECIDO I
PPL 70E,DESCONHECIDO I
PRB,DESCONHECIDO I
REC,DESCONHECIDO I
REC ED,DESCONHECIDO I
REC EJ,DESCONHECIDO I
UNT,DESCONHECIDO I
UNT ED,DESCONHECIDO I
UNT EDJ,DESCONHECIDO I
UNT EJ,DESCONHECIDO I
UNT ES,DESCONHECIDO I
